amfi_code,rolling_sharpe,scheme_name,risk_category,VaR_95,CVaR_95
120507,13.558546424833544,ICICI Pru Liquid Fund - Regular - Growth,Low,-0.00022157351389344714,-0.00037258039979649643
120844,12.47817793509701,Kotak Liquid Fund - Regular - Growth,Low,-0.00028479272823556107,-0.00041099591933232505
101208,11.995641778368872,ABSL Liquid Fund - Regular - Growth,Low,-0.0002686575130400159,-0.0004220820655857685
120843,1.9976919615427466,Kotak Flexicap Fund - Regular - Growth,Moderately High,-0.014507941385630474,-0.018381077688017156
148567,1.890422392876565,Mirae Asset Large Cap Fund - Regular - Growth,Moderate,-0.01355977641751056,-0.017622879905822203
119551,1.72778824324467,SBI Bluechip Fund - Regular Plan - Growth,Moderate,-0.012846228628842571,-0.01639680693408763
100033,1.586153811417228,HDFC Mid-Cap Opportunities Fund - Regular - Growth,High,-0.019033535861558825,-0.023455762770703794
120504,1.5614285819685045,ICICI Pru Bluechip Fund - Direct - Growth,Moderate,-0.013728193295939772,-0.017494143685606606
149323,1.5449974048131225,DSP Midcap Fund - Regular - Growth,High,-0.017882076201903473,-0.02260664210042033
119120,1.5291469534951136,SBI Magnum Gilt Fund - Regular Plan - Growth,Low,-0.003938283121850805,-0.005013693153022244
101206,1.4846477983767792,ABSL Frontline Equity Fund - Regular - Growth,Moderate,-0.013281661986281489,-0.017439425687129195
119552,1.4800148326932299,SBI Bluechip Fund - Direct Plan - Growth,Moderate,-0.013500970479935082,-0.017335699664199813
148569,1.4172426943076517,Mirae Asset Tax Saver Fund - Regular - Growth,High,-0.017118192655621135,-0.021328305810328105
102885,1.41691077122956,UTI Nifty 50 Index Fund - Regular - Growth,Moderate,-0.01261262882069356,-0.01549040525311211
118632,1.4023353688923805,Nippon India Large Cap Fund - Regular - Growth,Moderate,-0.013954045870018117,-0.017618579320162156
120505,1.386451952052047,ICICI Pru Midcap Fund - Regular - Growth,High,-0.01889178619869274,-0.02434207039551981
148568,1.3853251921356802,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately High,-0.014711531333512795,-0.01876476958423089
119094,1.3492192331740598,Axis Midcap Fund - Regular - Growth,High,-0.018480276243938307,-0.02426005947837057
125497,1.3100752046983941,HDFC Top 100 Fund - Direct Plan - Growth,Moderate,-0.014591769071140459,-0.018309885328057912
118635,1.3005301732603523,Nippon India ETF Nifty 50 BeES,Moderate,-0.012553697284754662,-0.01617696049480912
149324,1.2434313801912988,DSP Small Cap Fund - Regular - Growth,Very High,-0.023483069386777154,-0.03103625202188441
102887,1.2257728482278338,UTI Flexi Cap Fund - Regular - Growth,Moderately High,-0.015231617279157872,-0.019411182679158694
149322,1.1445976970624785,DSP Top 100 Equity Fund - Regular - Growth,Moderate,-0.014473851983792741,-0.018401747612732604
100025,1.1255021088620434,HDFC Short Term Debt Fund - Regular - Growth,Low,-0.003793246199522682,-0.004993763020560281
118636,1.1004068544121282,Nippon India Gilt Securities Fund - Regular - Growth,Low,-0.003804146068944347,-0.004918918420478294
120506,1.0455496499450485,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately High,-0.014388462899080912,-0.01940489860249691
118633,1.0420168752850658,Nippon India Large Cap Fund - Direct - Growth,Moderate,-0.013442525143024242,-0.016630178254004827
120503,1.0402872714962004,ICICI Pru Bluechip Fund - Regular - Growth,Moderate,-0.01355001716250348,-0.01745055416552432
119598,1.0092689776217145,SBI Small Cap Fund - Regular Plan - Growth,Very High,-0.0245070519056771,-0.03059526410880242
120841,0.9714285516819878,Kotak Bluechip Fund - Regular - Growth,Moderate,-0.013141782186804063,-0.01636273661834337
125498,0.7576790429574991,HDFC Mid-Cap Opportunities Fund - Direct - Growth,High,-0.018365320169601018,-0.02309379305316794
118634,0.672271831401728,Nippon India Small Cap Fund - Regular - Growth,Very High,-0.025438111458963106,-0.032304072697818535
119092,0.617368981119107,Axis Bluechip Fund - Regular - Growth,Moderate,-0.013749592076363814,-0.017327870956436054
119093,0.5520130127434848,Axis Bluechip Fund - Direct - Growth,Moderate,-0.014225516634796053,-0.01748670974901306
101207,0.4162049654611551,ABSL Small Cap Fund - Regular - Growth,Very High,-0.026021248221061066,-0.03245905898704435
119095,0.3446389334069017,Axis Small Cap Fund - Regular - Growth,Very High,-0.02618842440959035,-0.03166729360598028
100016,0.3375070526411411,HDFC Top 100 Fund - Regular Plan - Growth,Moderate,-0.014363639988111142,-0.01806020763217176
120842,0.22282480707719507,Kotak Emerging Equity Fund - Regular - Growth,High,-0.01821853045255608,-0.02272497526268088
102886,0.15481540211195494,UTI Mid Cap Fund - Regular - Growth,High,-0.01922028344426503,-0.023250860269221213
119599,0.1325162095088362,SBI Small Cap Fund - Direct Plan - Growth,Very High,-0.02685943514961382,-0.03238412245049217
