amfi_code,rolling_sharpe,scheme_name,risk_category
100016,0.3375070526411411,HDFC Top 100 Fund - Regular Plan - Growth,Moderate
100025,1.1255021088620434,HDFC Short Term Debt Fund - Regular - Growth,Low
100033,1.586153811417228,HDFC Mid-Cap Opportunities Fund - Regular - Growth,High
101206,1.4846477983767792,ABSL Frontline Equity Fund - Regular - Growth,Moderate
101207,0.4162049654611551,ABSL Small Cap Fund - Regular - Growth,Very High
101208,11.995641778368872,ABSL Liquid Fund - Regular - Growth,Low
102885,1.41691077122956,UTI Nifty 50 Index Fund - Regular - Growth,Moderate
102886,0.15481540211195494,UTI Mid Cap Fund - Regular - Growth,High
102887,1.2257728482278338,UTI Flexi Cap Fund - Regular - Growth,Moderately High
118632,1.4023353688923805,Nippon India Large Cap Fund - Regular - Growth,Moderate
118633,1.0420168752850658,Nippon India Large Cap Fund - Direct - Growth,Moderate
118634,0.672271831401728,Nippon India Small Cap Fund - Regular - Growth,Very High
118635,1.3005301732603523,Nippon India ETF Nifty 50 BeES,Moderate
118636,1.1004068544121282,Nippon India Gilt Securities Fund - Regular - Growth,Low
119092,0.617368981119107,Axis Bluechip Fund - Regular - Growth,Moderate
119093,0.5520130127434848,Axis Bluechip Fund - Direct - Growth,Moderate
119094,1.3492192331740598,Axis Midcap Fund - Regular - Growth,High
119095,0.3446389334069017,Axis Small Cap Fund - Regular - Growth,Very High
119120,1.5291469534951136,SBI Magnum Gilt Fund - Regular Plan - Growth,Low
119551,1.72778824324467,SBI Bluechip Fund - Regular Plan - Growth,Moderate
119552,1.4800148326932299,SBI Bluechip Fund - Direct Plan - Growth,Moderate
119598,1.0092689776217145,SBI Small Cap Fund - Regular Plan - Growth,Very High
119599,0.1325162095088362,SBI Small Cap Fund - Direct Plan - Growth,Very High
120503,1.0402872714962004,ICICI Pru Bluechip Fund - Regular - Growth,Moderate
120504,1.5614285819685045,ICICI Pru Bluechip Fund - Direct - Growth,Moderate
120505,1.386451952052047,ICICI Pru Midcap Fund - Regular - Growth,High
120506,1.0455496499450485,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately High
120507,13.558546424833544,ICICI Pru Liquid Fund - Regular - Growth,Low
120841,0.9714285516819878,Kotak Bluechip Fund - Regular - Growth,Moderate
120842,0.22282480707719507,Kotak Emerging Equity Fund - Regular - Growth,High
120843,1.9976919615427466,Kotak Flexicap Fund - Regular - Growth,Moderately High
120844,12.47817793509701,Kotak Liquid Fund - Regular - Growth,Low
125497,1.3100752046983941,HDFC Top 100 Fund - Direct Plan - Growth,Moderate
125498,0.7576790429574991,HDFC Mid-Cap Opportunities Fund - Direct - Growth,High
148567,1.890422392876565,Mirae Asset Large Cap Fund - Regular - Growth,Moderate
148568,1.3853251921356802,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately High
148569,1.4172426943076517,Mirae Asset Tax Saver Fund - Regular - Growth,High
149322,1.1445976970624785,DSP Top 100 Equity Fund - Regular - Growth,Moderate
149323,1.5449974048131225,DSP Midcap Fund - Regular - Growth,High
149324,1.2434313801912988,DSP Small Cap Fund - Regular - Growth,Very High
