amfi_code,scheme_name,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe,Alpha,Beta,R_squared,Max_Drawdown,CAGR_score,Sharpe_score,Alpha_score,Drawdown_score,Score,Rank
120505,ICICI Pru Midcap Fund - Regular - Growth,0.29604659337893646,0.317775371512347,0.2837676208804263,1.1801011976606495,0.2926358334175106,0.000549004250631712,1.3455341675668847e-07,-0.18188513572116294,1.0,0.9,0.95,0.625,0.90875,1
119598,SBI Small Cap Fund - Regular Plan - Growth,0.8277605861507404,0.2666992200118774,0.28033223731546975,0.9453082575156093,0.3033696538698332,-0.023196062044059693,0.0001414257550272171,-0.2870600572176455,0.975,0.675,1.0,0.9,0.89375,2
149324,DSP Small Cap Fund - Regular - Growth,0.6513871892998797,0.27000426614519246,0.2791743018490922,0.9497958246616031,0.3005787817097677,0.011455159960520708,3.5329906267955625e-05,-0.31171900300634214,0.95,0.7,0.975,0.925,0.88875,3
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.3975176148971702,0.2917890157839378,0.2762985997578453,1.2349300257743296,0.2827036785246582,0.018133884083859245,0.00017488886568129566,-0.1639674294693263,0.925,0.95,0.925,0.525,0.8712500000000001,4
120843,Kotak Flexicap Fund - Regular - Growth,0.26657081760850154,0.2958277033726251,0.2674249401072899,1.3067439695428407,0.27330465038306057,-0.02282956979242654,0.00034305434271514465,-0.1297396816518679,0.875,0.975,0.9,0.325,0.8225,5
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.20360678307711866,0.3400091602163293,0.2679927700697151,1.4482911703262595,0.2698375144191807,0.023683558075848623,0.0004625436906623847,-0.11265729075028275,0.9,1.0,0.85,0.2,0.8100000000000002,6
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5323239623092084,0.32442459421956116,0.260740682788986,1.0936987435346308,0.2719535450128533,0.0051035258305283104,1.2066520635068168e-05,-0.16217208574644848,0.85,0.85,0.875,0.5,0.8025,7
149323,DSP Midcap Fund - Regular - Growth,0.21481222193726257,0.268699908289022,0.256118065778393,1.1321218524747245,0.26598577542043045,-0.002523004664699247,3.357978192008859e-06,-0.17248105753451382,0.825,0.875,0.825,0.55,0.7962500000000001,8
119094,Axis Midcap Fund - Regular - Growth,0.22261065131342206,0.35111802096428524,0.24445308534360555,0.9982309868636414,0.2607666908004223,-0.06626542862803757,0.001936878936960232,-0.20960883862039192,0.8,0.75,0.8,0.7,0.7725000000000001,9
119551,SBI Bluechip Fund - Regular Plan - Growth,0.6043734071403091,0.3045652442030289,0.22384873172214603,1.2082665673727175,0.23201007160635082,-0.03175144113890972,0.0008869788879322809,-0.1501238549864533,0.775,0.925,0.775,0.425,0.76,10
