investor_id,sip_count,avg_gap,status
INV000004,6.0,85.4,at-risk
INV000008,6.0,70.4,at-risk
INV000010,6.0,64.8,at-risk
INV000011,7.0,40.166666666666664,at-risk
INV000012,8.0,57.0,at-risk
INV000013,7.0,55.333333333333336,at-risk
INV000014,7.0,75.33333333333333,at-risk
INV000023,8.0,58.57142857142857,at-risk
INV000028,6.0,93.6,at-risk
INV000029,7.0,60.666666666666664,at-risk
INV000030,9.0,47.625,at-risk
INV000033,8.0,45.57142857142857,at-risk
INV000039,6.0,68.6,at-risk
INV000045,6.0,70.6,at-risk
INV000048,9.0,46.0,at-risk
INV000052,6.0,36.2,at-risk
INV000056,6.0,74.8,at-risk
INV000057,8.0,49.714285714285715,at-risk
INV000069,10.0,49.111111111111114,at-risk
INV000072,6.0,83.0,at-risk
INV000073,9.0,48.25,at-risk
INV000074,8.0,72.57142857142857,at-risk
INV000075,6.0,74.8,at-risk
INV000076,6.0,91.8,at-risk
INV000079,6.0,65.8,at-risk
INV000081,7.0,81.33333333333333,at-risk
INV000082,7.0,83.66666666666667,at-risk
INV000086,10.0,44.666666666666664,at-risk
INV000087,6.0,92.8,at-risk
INV000091,8.0,44.0,at-risk
INV000093,7.0,55.5,at-risk
INV000094,6.0,44.8,at-risk
INV000095,6.0,69.4,at-risk
INV000097,7.0,54.5,at-risk
INV000101,8.0,65.0,at-risk
INV000102,8.0,65.28571428571429,at-risk
INV000103,6.0,83.4,at-risk
INV000105,8.0,57.0,at-risk
INV000109,9.0,46.25,at-risk
INV000113,8.0,46.0,at-risk
INV000123,7.0,59.666666666666664,at-risk
INV000128,6.0,82.0,at-risk
INV000131,7.0,56.0,at-risk
INV000132,6.0,71.0,at-risk
INV000133,6.0,88.2,at-risk
INV000138,6.0,76.2,at-risk
INV000145,6.0,89.4,at-risk
INV000146,6.0,66.8,at-risk
INV000148,9.0,52.0,at-risk
INV000155,7.0,37.333333333333336,at-risk
INV000161,7.0,73.0,at-risk
INV000163,8.0,61.0,at-risk
INV000164,6.0,61.8,at-risk
INV000169,7.0,67.83333333333333,at-risk
INV000173,7.0,57.666666666666664,at-risk
INV000175,7.0,83.66666666666667,at-risk
INV000177,8.0,65.42857142857143,at-risk
INV000180,6.0,61.8,at-risk
INV000183,9.0,56.125,at-risk
INV000191,7.0,56.5,at-risk
INV000194,7.0,58.0,at-risk
INV000195,6.0,77.4,at-risk
INV000196,7.0,69.0,at-risk
INV000201,9.0,51.125,at-risk
INV000205,8.0,62.57142857142857,at-risk
INV000210,8.0,70.71428571428571,at-risk
INV000214,6.0,94.8,at-risk
INV000217,6.0,92.0,at-risk
INV000228,9.0,59.75,at-risk
INV000236,8.0,67.14285714285714,at-risk
INV000238,6.0,93.6,at-risk
INV000239,8.0,48.857142857142854,at-risk
INV000243,6.0,88.2,at-risk
INV000245,6.0,92.2,at-risk
INV000249,7.0,45.5,at-risk
INV000252,6.0,50.4,at-risk
INV000255,6.0,48.6,at-risk
INV000256,6.0,70.2,at-risk
INV000259,6.0,70.6,at-risk
INV000260,8.0,59.57142857142857,at-risk
INV000262,8.0,53.57142857142857,at-risk
INV000263,8.0,68.42857142857143,at-risk
INV000265,10.0,53.44444444444444,at-risk
INV000268,7.0,62.333333333333336,at-risk
INV000279,9.0,43.375,at-risk
INV000280,9.0,55.75,at-risk
INV000283,6.0,68.0,at-risk
INV000287,7.0,69.83333333333333,at-risk
INV000289,8.0,62.714285714285715,at-risk
INV000291,6.0,89.0,at-risk
INV000292,7.0,46.0,at-risk
INV000293,7.0,47.0,at-risk
INV000297,6.0,90.6,at-risk
INV000299,6.0,85.2,at-risk
INV000304,7.0,70.0,at-risk
INV000309,8.0,52.0,at-risk
INV000310,7.0,75.83333333333333,at-risk
INV000318,6.0,97.4,at-risk
INV000319,7.0,73.5,at-risk
INV000321,7.0,72.83333333333333,at-risk
INV000328,9.0,37.5,at-risk
INV000331,8.0,50.714285714285715,at-risk
INV000334,7.0,25.5,healthy
INV000335,6.0,96.0,at-risk
