amfi_code,fund_name,max_drawdown
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.24734440880673303
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.04308263824636327
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,-0.16217208574644837
101206,ABSL Frontline Equity Fund - Regular - Growth,-0.11291596329323095
101207,ABSL Small Cap Fund - Regular - Growth,-0.35446916493366043
101208,ABSL Liquid Fund - Regular - Growth,-0.0016224980244715637
102885,UTI Nifty 50 Index Fund - Regular - Growth,-0.10859862152502298
102886,UTI Mid Cap Fund - Regular - Growth,-0.2800112356639297
102887,UTI Flexi Cap Fund - Regular - Growth,-0.21285398874796857
118632,Nippon India Large Cap Fund - Regular - Growth,-0.17414075086657277
118633,Nippon India Large Cap Fund - Direct - Growth,-0.18629743138595556
118634,Nippon India Small Cap Fund - Regular - Growth,-0.23344886144833177
118635,Nippon India ETF Nifty 50 BeES,-0.11511457598975472
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.0831636176363858
119092,Axis Bluechip Fund - Regular - Growth,-0.1440161790933725
119093,Axis Bluechip Fund - Direct - Growth,-0.21751396370148146
119094,Axis Midcap Fund - Regular - Growth,-0.20960883862039204
119095,Axis Small Cap Fund - Regular - Growth,-0.5167775370852661
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.04328728923970038
119551,SBI Bluechip Fund - Regular Plan - Growth,-0.15012385498645375
119552,SBI Bluechip Fund - Direct Plan - Growth,-0.11803493502764328
119598,SBI Small Cap Fund - Regular Plan - Growth,-0.28706005721764627
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.5257422117012853
120503,ICICI Pru Bluechip Fund - Regular - Growth,-0.1389786282306159
120504,ICICI Pru Bluechip Fund - Direct - Growth,-0.1258827560692246
120505,ICICI Pru Midcap Fund - Regular - Growth,-0.18188513572116338
120506,ICICI Pru Value Discovery Fund - Regular - Growth,-0.19825658262982693
120507,ICICI Pru Liquid Fund - Regular - Growth,-0.0009773140045926665
120841,Kotak Bluechip Fund - Regular - Growth,-0.1757361416468739
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.24003511326274685
120843,Kotak Flexicap Fund - Regular - Growth,-0.1297396816518681
125497,HDFC Top 100 Fund - Direct Plan - Growth,-0.12722248656472246
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,-0.21117279560132163
148567,Mirae Asset Large Cap Fund - Regular - Growth,-0.1126572907502823
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,-0.1527259422823477
148569,Mirae Asset Tax Saver Fund - Regular - Growth,-0.16396742946932696
149322,DSP Top 100 Equity Fund - Regular - Growth,-0.14111986534883092
149323,DSP Midcap Fund - Regular - Growth,-0.17248105753451415
149324,DSP Small Cap Fund - Regular - Growth,-0.3117190030063417
