amfi_code,fund_name,sharpe_ratio
120507,ICICI Pru Liquid Fund - Regular - Growth,3.9763541531244204
101208,ABSL Liquid Fund - Regular - Growth,2.5218971719414434
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.7048440505818676
120843,Kotak Flexicap Fund - Regular - Growth,1.521170457528061
119551,SBI Bluechip Fund - Regular Plan - Growth,1.4420496952557145
148569,Mirae Asset Tax Saver Fund - Regular - Growth,1.4391035937283692
120505,ICICI Pru Midcap Fund - Regular - Growth,1.4044658291182281
149323,DSP Midcap Fund - Regular - Growth,1.3183698068954144
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.2836351793893273
118632,Nippon India Large Cap Fund - Regular - Growth,1.2818012404080799
120504,ICICI Pru Bluechip Fund - Direct - Growth,1.23251131146725
101206,ABSL Frontline Equity Fund - Regular - Growth,1.2078040119545759
119552,SBI Bluechip Fund - Direct Plan - Growth,1.1612336037641424
119094,Axis Midcap Fund - Regular - Growth,1.1440633149793455
149324,DSP Small Cap Fund - Regular - Growth,1.0587705413631112
119598,SBI Small Cap Fund - Regular Plan - Growth,1.0562276095907452
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.0518232643198047
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.9547384249815888
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.9335296563425168
118635,Nippon India ETF Nifty 50 BeES,0.8167852540214656
118633,Nippon India Large Cap Fund - Direct - Growth,0.7885227987971622
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.750215854520239
102887,UTI Flexi Cap Fund - Regular - Growth,0.7281066598082262
120841,Kotak Bluechip Fund - Regular - Growth,0.5897680918067538
149322,DSP Top 100 Equity Fund - Regular - Growth,0.5649156295795464
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5288723788007519
118634,Nippon India Small Cap Fund - Regular - Growth,0.4298518505390235
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.3273213821983956
119093,Axis Bluechip Fund - Direct - Growth,0.18700205740072445
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.1552597406116582
101207,ABSL Small Cap Fund - Regular - Growth,0.11274009324683097
119092,Axis Bluechip Fund - Regular - Growth,0.09257141216448467
120842,Kotak Emerging Equity Fund - Regular - Growth,0.059171463247172755
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.01351666174970751
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.10399798539348377
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.1528217143529138
119095,Axis Small Cap Fund - Regular - Growth,-0.1573778461588151
100025,HDFC Short Term Debt Fund - Regular - Growth,-0.15873519595614685
102886,UTI Mid Cap Fund - Regular - Growth,-0.2271235319782761
